epoch,loss,iou,dice,val_loss,val_iou,val_dice
1,0.6874812113457038,0.180483201839274,0.2953180272254299,0.5863334859003786,0.3142954030486404,0.4593506631304006
2,0.5875428809982831,0.2546335991899498,0.3906966147974866,0.5357057276319285,0.2423548561805471,0.3658404788815848
3,0.5568512690360429,0.2622977850956796,0.3984394788028306,0.5232798090723695,0.2104992734414463,0.3223669356648534
4,0.5366395445632153,0.2751600237899139,0.4164285387111003,0.5053522264371153,0.3451322937912888,0.4920899941334042
5,0.5219850347178882,0.2803396760318123,0.4234186013336064,0.4903666552950124,0.2846970175641815,0.4176273175031279
6,0.5036902603555898,0.3034069173221216,0.4513747223698702,0.4712146862608487,0.3367230955541866,0.4841057456663397
7,0.496552262638436,0.3121867764924393,0.4598813142444267,0.4710413549767165,0.3395392213272133,0.4872195368979664
8,0.4871371745086107,0.3198542333833995,0.4694165970946922,0.4694094677440455,0.2630230179576289,0.3877895020628557
9,0.4747164034452594,0.3376451033304949,0.4920235298207548,0.471688126931425,0.2655415988921837,0.3851424856460202
10,0.473545851033242,0.3371012514670852,0.4876830223642411,0.4384333051618982,0.4254382675299879,0.5806080830878899
11,0.4631537030466267,0.3526466363949365,0.5076435097172612,0.4337535046163152,0.4151374399662018,0.5655931292987261
12,0.4586397582878831,0.3554014333019979,0.5098314739641596,0.4349116028332319,0.3831873515956714,0.5312344368669342
13,0.4542234408073738,0.3679151385411864,0.5198320974824858,0.4144024995506787,0.4321143741978974,0.5868764304723896
14,0.4484489350045313,0.3815093031916462,0.5387886090845359,0.4166194923588487,0.4502626520688416,0.6064687879359136
15,0.4416569874423449,0.3870205597677191,0.5430570230132243,0.4403333527142884,0.3347712774745753,0.4748291023930565
16,0.4381056537882226,0.3862719375212661,0.5439393620510571,0.4099978794817064,0.463281587499087,0.61626990799044
17,0.4268200326649869,0.4130876662789798,0.570371790743265,0.410041478325109,0.453870706382345,0.6081278206872158
18,0.4239491930261987,0.4103517136231187,0.5680218228429067,0.3835926515157105,0.4775040893525373,0.6267836401697064
19,0.4200974421911552,0.4158660843968391,0.5743410002257003,0.4004851750663069,0.4747720292357147,0.627761670800506
20,0.4166209431456737,0.4241410299036346,0.5795232546134074,0.4347136274712985,0.412981887210588,0.5655998768376522
21,0.4125760383293277,0.4328753095669824,0.5914720844049923,0.3781657453443183,0.5010621889692838,0.6475729746896712
22,0.4094391588549145,0.4465849381245551,0.6048672204134894,0.3677611736977687,0.5294276993782794,0.6807527151264128
23,0.4115894129041765,0.4403148933512265,0.5969261200945886,0.389551546729979,0.5026506908604356,0.6561878724176375
24,0.4013793612601327,0.4581256062403077,0.612558511681244,0.3774809847112562,0.5370533866960494,0.6888097759153022
25,0.3987096883967274,0.4654392109054034,0.623520555310562,0.3567453657017379,0.5515301168942061,0.7004884354403762
26,0.3985706830366713,0.462340310948794,0.6185398735716695,0.3646648579933604,0.5477176606655121,0.6975235802228333
27,0.3951940453443371,0.4796316861862041,0.637568264222536,0.373442173492713,0.4680074458239508,0.6217539955358036
28,0.395280230485025,0.464604658547972,0.622438339791337,0.3522200130048345,0.549067491390666,0.6987938802750384
29,0.3854008749371669,0.4891203072715978,0.6457911177736814,0.3795934856915083,0.5464663647237371,0.6941353395336964
30,0.3803345134756604,0.5035183367426278,0.6595420988856769,0.3613152118002782,0.5603790351601897,0.7053777194413983
31,0.386007157016973,0.4837098148514013,0.6396879333941663,0.3556078628438418,0.5664686169780668,0.7104034160004288
32,0.379300771800221,0.5062668281989019,0.6606332305513445,0.3311198216969849,0.5924855939677505,0.7349273464718803
33,0.3816709518432617,0.5105365897055532,0.6632759473362907,0.3509790350179203,0.577022664371084,0.7199728850458489
34,0.3750897593429831,0.5237510512109662,0.6740358889591499,0.3434781681318752,0.6081805737292181,0.747033878428037
35,0.3777985427467549,0.5174338671027637,0.6691359369481196,0.3328467333903078,0.578603630183173,0.7256211706849395
36,0.3733839090974604,0.5319939355869763,0.6842859348312753,0.3713114447281009,0.4652909416644299,0.620701902713932
37,0.3719782955089553,0.5197802753966363,0.672251431668391,0.3241886897165267,0.6135719526009481,0.7520893655839513
38,0.3738708373953084,0.5223514012015257,0.6724316460675881,0.3563671747192007,0.5487500751604799,0.6954214699932786
39,0.3653491284759318,0.5471274308005317,0.6980198499609213,0.3568142921221061,0.5571806587156702,0.7039518268381963
40,0.3553314129592942,0.5658409610146382,0.7137071111651717,0.3380289273183854,0.6558435793782844,0.7871582791453502
41,0.3589815073570267,0.5552592438752534,0.7029921164522406,0.3224683555423236,0.6393586612138592,0.7717913672572276
42,0.3624795294198834,0.5471172329099452,0.6957166072775106,0.2992753366954991,0.6352118048511568,0.7693488373131049
