epoch,loss,iou,dice,val_loss,val_iou,val_dice
1,0.6336463926756968,0.20589302376401228,0.33115160978231273,0.5177745633437986,0.3106767691549708,0.46293812697051
2,0.4972982369974011,0.2821830359944066,0.42638227606161694,0.45093218908935295,0.2562844251345612,0.3867263918607158
3,0.45700359686476283,0.30220791633378286,0.4476922398707906,0.3985161361147146,0.344081422711005,0.4963567208071224
4,0.43039081233446713,0.3153866847946507,0.4607490863589967,0.342239614881453,0.4430599881977331,0.6008220754685949
5,0.40524256681321097,0.3447286545863894,0.4976126289025682,0.3403472319001057,0.42674337752682506,0.5813169527997369
6,0.3879015139136158,0.36416954255555983,0.5215865403383237,0.336173339945371,0.4429079850860795,0.5960637344577976
7,0.37280949999074464,0.3822852142627988,0.5354119312918943,0.32601263435160527,0.4315894447022774,0.5820985154599928
8,0.3660594952888176,0.3887421548610828,0.5464196591103663,0.2999992082353498,0.4656116681509331,0.6169626781197844
9,0.3597560544482997,0.4005253082293956,0.5557838597747146,0.2807996023873814,0.4999298551043526,0.654601444963549
10,0.3253975168603366,0.44179164160226214,0.6016357845214547,0.2808761772562246,0.4949614869766548,0.6448547307585106
11,0.31109447569632137,0.47201352102346106,0.627348353750393,0.2547451570385792,0.5245565283493917,0.6726745220481373
12,0.30027345494657265,0.4790818196583967,0.6354522558509327,0.21776721858587422,0.6008340491623175,0.7449273173926306
13,0.29054549061616913,0.4947184357242506,0.6497574968904746,0.23961415349460038,0.5647771666284467,0.7126211225986481
14,0.28868284436767216,0.4970263592043861,0.652841254335935,0.22777452893921588,0.5781611878363813,0.7254154789643209
15,0.2781954656858913,0.5082591356801205,0.6627200192115346,0.1995739859879994,0.6310076029574285,0.7637415098362281
16,0.2732413720767029,0.5143584467348505,0.6685818756212953,0.19969373672712046,0.6302774870981935,0.7647916557358914
17,0.26577152562190276,0.5276053990008401,0.6782702957508994,0.23688594239657043,0.5497158238145171,0.7008569328511347
18,0.25440496352852365,0.5462891620690705,0.6959478498482313,0.23508003402928837,0.5752974621585158,0.7207685152038199
19,0.23809189917367013,0.5675981136374786,0.7159348267023681,0.16722935242731063,0.6654574665866915,0.794247814866363
20,0.25308543254361776,0.5497718083321071,0.6950975397571189,0.23507129608607683,0.5825556765814297,0.7269865557795665
21,0.2505360587698514,0.5525068059319356,0.698644116765163,0.15387802424489475,0.6985761757756843,0.8154750671543058
22,0.2522703500189742,0.5472229979321604,0.6971849686786776,0.15155071972823533,0.6958207751883835,0.813377637355054
23,0.2296348324076074,0.5784540871371988,0.7209864117083002,0.19334329872346315,0.6181235547925605,0.7530683689430112
24,0.23513553450342084,0.578019734044544,0.7220711852194833,0.1863441589425822,0.6477949081874285,0.7796134254971488
25,0.2249432786322031,0.5931833231302558,0.7345715314149857,0.16778623666919645,0.6740163076119344,0.7982396200054982
26,0.22945545760334515,0.5837426853106648,0.7269137491945361,0.1620816324577957,0.6852370588505854,0.8092886189945409
27,0.22014701445815993,0.5971494817831478,0.7381673159657932,0.15682474071862268,0.6897188669345418,0.8113946015717554
28,0.22138654214681172,0.5932214455526383,0.7322642405013569,0.15013330906141,0.7071621720908118,0.8241384684062395
29,0.2179999616546709,0.6023048607052349,0.742729655787593,0.13414515493834606,0.7353583838118881,0.8437351281525659
30,0.21166463437505434,0.6100923465412171,0.7481278701395285,0.16861751235899378,0.6706702376975388,0.7968241201072442
31,0.21035581601203465,0.6138698252253845,0.751836532207786,0.15358594206512952,0.6947052625359081,0.8149703535877291
32,0.21106910235324844,0.612892505208977,0.7490340385769234,0.14963020433167942,0.7113170653093056,0.827390121631935
33,0.20625841886293692,0.6224256189631634,0.7570424160507859,0.14809502667335214,0.6978451717095296,0.8173987367114083
34,0.20386954097718488,0.6254024824402371,0.7583863537331097,0.146714270725602,0.7049691081047058,0.8219580093368155
35,0.20231306476549046,0.6293579685639162,0.7609963595378594,0.143827314259576,0.720973509256957,0.8333841308218534
36,0.19646680098576624,0.6383863969660196,0.7690299023858836,0.11957116510535849,0.7602566891029233,0.8617948440254711
37,0.19706521439747732,0.6340949863928264,0.7640891619881646,0.15667435441349373,0.6905053668334836,0.8129128090670852
38,0.184481038971514,0.6596168266212354,0.785629150320272,0.14171687489161727,0.7149393910267314,0.8304664424208344
39,0.1900901045100611,0.647370204940194,0.7757520580389461,0.1457846997702708,0.7119925188236549,0.8271782671818968
40,0.17481819711259153,0.6720384851586624,0.7958357869113077,0.12922529876232147,0.7414455462674625,0.8460383131855824
41,0.1907570400565374,0.6419801536153574,0.7742065731130663,0.12067050792154718,0.758287540224732,0.8597801015025279
42,0.1840910703310224,0.657904402520813,0.7841492380763664,0.11906088656577908,0.7568714921591712,0.858254041828093
43,0.18714827815162355,0.650416944603451,0.77849616134753,0.11771001251506023,0.7624269186473284,0.8622065499180653
44,0.18357569907532365,0.6549871916897961,0.7818448106285001,0.12541229009139734,0.7428709043831122,0.8491487434652986
45,0.17733951477853002,0.6637047077300119,0.7878950274870044,0.11648561597847548,0.760549644954869,0.8602288697586685
46,0.19340306160147072,0.6387404788468705,0.7690264392094533,0.15172665138713648,0.7006929096628408,0.818411834904405
47,0.17922982112428204,0.6635059228197473,0.7902724107757944,0.13700637850360792,0.7260611125680266,0.8358575652857296
48,0.17735456843234476,0.6641888762595224,0.7899927890203038,0.12234504911743227,0.7543032990127313,0.8538702970645466
49,0.18778526001289242,0.6444430661494615,0.77359987990778,0.11378842347958049,0.7685392156976169,0.8668553076806615
50,0.18441747012929838,0.6534839714648294,0.7812938861182479,0.12867578302250535,0.7419230850016485,0.8493419739066578
