image_id,unet_iou,unet_dice,deeplab_iou,deeplab_dice
1,0.9346972703933716,0.9662465453147888,0.9475952386856079,0.9730925559997559
10,0.3460017144680023,0.5141177773475647,0.8002648949623108,0.8890523910522461
100,0.940338671207428,0.9692521095275879,0.9334945678710938,0.9656035304069519
101,0.8995997905731201,0.9471466541290283,0.9297404885292053,0.9635912179946899
102,0.8246555328369141,0.9039027094841003,0.9516218900680542,0.9752113223075867
103,0.8220072984695435,0.9023095965385437,0.9409555196762085,0.9695796966552734
104,0.7839985489845276,0.8789228796958923,0.8549164533615112,0.9217843413352966
105,0.8726128339767456,0.9319735765457153,0.8709729909896851,0.9310374855995178
106,0.416787326335907,0.588355541229248,0.8221734166145325,0.9024096131324768
107,0.8816795349121094,0.937119722366333,0.9181930422782898,0.9573520421981812
108,0.9504881501197815,0.9746156930923462,0.9500184059143066,0.9743686318397522
109,0.9536870718002319,0.9762945771217346,0.9523923993110657,0.9756157398223877
11,0.6693284511566162,0.8019134402275085,0.9006012082099915,0.9477013945579529
110,0.9340780973434448,0.9659156203269958,0.949733555316925,0.9742187857627869
111,0.9518390893936157,0.975325345993042,0.9491941332817078,0.9739349484443665
112,0.9598484039306641,0.9795129299163818,0.9575749039649963,0.978327751159668
113,0.9580643177032471,0.9785830974578857,0.9574462175369263,0.9782605767250061
114,0.7972922325134277,0.8872148990631104,0.9082069993019104,0.9518956542015076
115,0.8994091153144836,0.9470409750938416,0.8943321704864502,0.9442189335823059
116,0.935230553150177,0.9665313959121704,0.9286919236183167,0.9630277752876282
117,0.9069634079933167,0.9512121677398682,0.8876444697380066,0.9404784440994263
118,0.8595060706138611,0.9244455695152283,0.9138845801353455,0.955004870891571
119,0.869581401348114,0.9302418231964111,0.8663942217826843,0.9284150004386902
12,0.8142184615135193,0.8975968956947327,0.9177224040031433,0.9570962190628052
120,0.9162677526473999,0.9563044905662537,0.9214684367179871,0.9591293931007385
121,0.932640016078949,0.9651461243629456,0.942866861820221,0.9705933928489685
122,0.7721614241600037,0.8714346289634705,0.8629143834114075,0.926413357257843
123,0.7718460559844971,0.8712337613105774,0.8976781368255615,0.9460805058479309
124,0.6698887348175049,0.8023154139518738,0.9122859835624695,0.9541313052177429
125,0.9062606692314148,0.950825572013855,0.8890722990036011,0.9412792921066284
126,0.9468334913253784,0.9726908206939697,0.9394538998603821,0.9687818884849548
127,0.9252623915672302,0.961180567741394,0.9075736403465271,0.9515476822853088
128,0.9588695168495178,0.9790029525756836,0.9550818800926208,0.9770249724388123
129,0.9324135184288025,0.9650248289108276,0.9464168548583984,0.9724708795547485
13,0.7910273671150208,0.8833224773406982,0.9485964179039001,0.9736201763153076
130,0.9393365383148193,0.968719482421875,0.9330033659934998,0.9653406143188477
131,0.9422677755355835,0.97027587890625,0.938564658164978,0.9683088660240173
132,0.9591584205627441,0.9791535139083862,0.9378743767738342,0.9679413437843323
133,0.9201265573501587,0.9584019780158997,0.9260655045509338,0.9616137146949768
134,0.9400104880332947,0.9690777659416199,0.8953623175621033,0.9447927474975586
135,0.5716750025749207,0.7274722456932068,0.9688558578491211,0.9841816425323486
136,0.8469170928001404,0.9171143770217896,0.9500950574874878,0.9744089841842651
137,0.8343303203582764,0.9096838235855103,0.9432995915412903,0.9708226323127747
138,0.8931634426116943,0.943567156791687,0.9542021751403809,0.9765644669532776
139,0.9575989246368408,0.9783402681350708,0.9574906826019287,0.9782837629318237
14,0.5654863119125366,0.7224417328834534,0.8554137945175171,0.9220733642578125
140,0.9646810293197632,0.9820230603218079,0.9723230600357056,0.9859673380851746
141,0.7657077312469482,0.8673096895217896,0.938473641872406,0.9682604074478149
142,0.9614660143852234,0.9803544878959656,0.9360780715942383,0.9669837951660156
143,0.8845719695091248,0.9387510418891907,0.8755589723587036,0.9336512088775635
144,0.95815110206604,0.978628396987915,0.9574580788612366,0.9782667756080627
145,0.9490595459938049,0.9738640785217285,0.964782178401947,0.9820754528045654
146,0.9169167280197144,0.9566578269004822,0.9394780993461609,0.9687947630882263
148,0.9612998366355896,0.980268120765686,0.9536696672439575,0.976285457611084
149,0.9474697113037109,0.9730263948440552,0.9514000415802002,0.9750948548316956
15,0.7956910729408264,0.8862226605415344,0.9399562478065491,0.9690489172935486
150,0.9157403707504272,0.9560171961784363,0.9363698959350586,0.967139482498169
151,0.9217573404312134,0.9592858552932739,0.9351091980934143,0.9664666056632996
152,0.8117409348487854,0.8960894346237183,0.8166799545288086,0.8990906476974487
153,0.8668685555458069,0.9286872744560242,0.905586838722229,0.9504545331001282
154,0.04267266020178795,0.08185245096683502,1.256281390027425e-08,1.256281390027425e-08
155,0.48317572474479675,0.6515421271324158,0.8346334099769592,0.9098639488220215
156,0.9222491383552551,0.9595521688461304,0.9365642666816711,0.9672431945800781
157,0.9120413064956665,0.9539974927902222,0.9103863835334778,0.9530913829803467
158,0.9511843919754028,0.9749815464019775,0.9368236660957336,0.967381477355957
159,0.8742207288742065,0.9328898191452026,0.882107675075531,0.9373615384101868
16,0.8554591536521912,0.9220997095108032,0.9382117986679077,0.9681210517883301
160,0.8432344794273376,0.9149508476257324,0.9182838797569275,0.9574014544487
161,0.8773683309555054,0.9346789121627808,0.8993764519691467,0.9470228552818298
162,0.8048375844955444,0.8918670415878296,0.9075337648391724,0.9515258073806763
163,0.8699898719787598,0.9304754734039307,0.9149219989776611,0.9555710554122925
164,0.8876889944076538,0.9405034184455872,0.9057322144508362,0.9505345821380615
165,0.6101102232933044,0.7578489780426025,0.922249972820282,0.9595525860786438
166,0.9318816661834717,0.9647399187088013,0.9247507452964783,0.9609044194221497
167,0.9125049114227295,0.9542510509490967,0.9272361993789673,0.96224445104599
168,0.8569383025169373,0.9229583144187927,0.9134066700935364,0.9547438621520996
169,0.9436741471290588,0.9710209369659424,0.9390824437141418,0.9685843586921692
17,0.9349325299263,0.9663722515106201,0.959159791469574,0.9791542291641235
170,0.9138211607933044,0.9549702405929565,0.9253055453300476,0.9612038731575012
171,0.8971123695373535,0.9457662105560303,0.9403827786445618,0.9692755341529846
172,0.9205943942070007,0.9586557149887085,0.8830769062042236,0.9379084706306458
173,0.8310291767120361,0.9077181220054626,0.7841711044311523,0.879031240940094
174,0.7431974411010742,0.8526830673217773,0.6853402853012085,0.8132960796356201
175,0.7772733569145203,0.8746806979179382,0.895465612411499,0.9448502659797668
176,0.710395097732544,0.8306795358657837,0.8853432536125183,0.9391852021217346
177,0.8720245361328125,0.9316379427909851,0.82936692237854,0.9067256450653076
178,5.078720111129087e-09,5.078720111129087e-09,2.0458263971789847e-09,2.0458263971789847e-09
179,0.8818916082382202,0.9372395277023315,0.9095708131790161,0.9526442289352417
18,0.9649366140365601,0.982155442237854,0.9017464518547058,0.9483351111412048
180,0.8352645635604858,0.9102388620376587,0.8283132314682007,0.906095564365387
181,0.8872642517089844,0.9402649998664856,0.8556388020515442,0.9222040176391602
182,0.8954183459281921,0.9448239803314209,0.8931237459182739,0.9435450434684753
183,0.8396245241165161,0.9128216505050659,0.8497633934020996,0.9187806248664856
184,0.8837310075759888,0.9382773041725159,0.8943036794662476,0.9442030787467957
185,0.8836182951927185,0.9382137656211853,0.8699044585227966,0.9304266571998596
186,0.9145974516868591,0.9553940296173096,0.9066981673240662,0.951066255569458
187,0.8990865349769592,0.9468621015548706,0.8977439403533936,0.9461170434951782
188,0.9346118569374084,0.9662008881568909,0.9261415004730225,0.9616547226905823
189,0.924396276473999,0.9607130289077759,0.912391185760498,0.9541888236999512
19,0.9013356566429138,0.948107898235321,0.8785143494606018,0.9353288412094116
190,0.9130613207817078,0.9545552134513855,0.8714975714683533,0.9313371181488037
191,0.8246913552284241,0.9039242267608643,0.7660984992980957,0.8675603270530701
192,0.8792011737823486,0.9357179999351501,0.8333333134651184,0.9090909361839294
193,0.8422929048538208,0.9143962860107422,0.7996426820755005,0.8886682987213135
194,0.9072759747505188,0.9513840675354004,0.899608314037323,0.9471513628959656
195,0.9303787350654602,0.9639338850975037,0.926354706287384,0.9617696404457092
196,0.8923503756523132,0.9431132674217224,0.8975987434387207,0.9460363984107971
197,0.8647995591163635,0.9274986386299133,0.8932633399963379,0.9436229467391968
198,0.9079764485359192,0.9517690539360046,0.8914090394973755,0.9425872564315796
199,0.9176054000854492,0.9570325613021851,0.90529465675354,0.9502936005592346
2,0.9426352977752686,0.970470666885376,0.9487409591674805,0.9736963510513306
20,0.8491364121437073,0.9184139966964722,0.9472452402114868,0.9729080200195312
200,0.3845597207546234,0.5554974675178528,0.8697690367698669,0.9303491711616516
201,0.49446889758110046,0.6617319583892822,0.8614214658737183,0.9255523085594177
202,0.4433535635471344,0.6143381595611572,0.8311360478401184,0.9077818989753723
203,0.41163909435272217,0.5832072496414185,0.6839744448661804,0.8123335242271423
204,2.1303792063775973e-09,2.1303792063775973e-09,0.5232211351394653,0.6869930028915405
205,0.5959858298301697,0.7468560338020325,0.5482414364814758,0.7082118391990662
206,0.6172373294830322,0.7633231282234192,0.6419515609741211,0.7819372415542603
207,0.5422673225402832,0.7032079100608826,0.6582725644111633,0.7939256429672241
208,0.36272716522216797,0.5323547720909119,0.6791310906410217,0.8089078068733215
209,0.5078758001327515,0.6736307740211487,0.6164882183074951,0.7627500295639038
21,0.8657724857330322,0.9280579090118408,0.9539617300033569,0.9764385223388672
210,0.47255122661590576,0.6418129205703735,0.8284863233566284,0.9061990976333618
211,0.5172156691551208,0.6817958354949951,0.8866958618164062,0.9399457573890686
212,0.5404676795005798,0.7016929984092712,0.8201320767402649,0.9011786580085754
213,0.7499430775642395,0.8571056723594666,0.9047878384590149,0.9500142931938171
214,0.8350068926811218,0.9100858569145203,0.8146452903747559,0.8978562355041504
215,0.9109622240066528,0.953406810760498,0.8758745789527893,0.9338306188583374
216,0.8360627293586731,0.9107125997543335,0.8237885236740112,0.9033816456794739
217,0.9468615055084229,0.9727055430412292,0.9486819505691528,0.9736652374267578
218,0.9385906457901001,0.9683226943016052,0.9423757195472717,0.9703330993652344
219,0.8313784599304199,0.9079264402389526,0.8400164842605591,0.9130532145500183
22,0.44989410042762756,0.6205888986587524,0.8616961240768433,0.9257108569145203
220,0.9445338845252991,0.9714758992195129,0.9207289814949036,0.9587286710739136
221,0.888533890247345,0.9409774541854858,0.8736898303031921,0.9325874447822571
222,0.9288806319236755,0.9631292223930359,0.9245867729187012,0.9608159065246582
223,0.9443719983100891,0.9713902473449707,0.915057897567749,0.9556451439857483
224,0.8753685355186462,0.9335429668426514,0.8627398610115051,0.9263128042221069
225,0.9291440844535828,0.9632707834243774,0.8853110074996948,0.9391670823097229
226,0.9233430027961731,0.9601438641548157,0.8744251132011414,0.9330061674118042
227,0.8053233623504639,0.8921652436256409,0.8512966632843018,0.9196761250495911
228,0.8065559267997742,0.8929210901260376,0.8252190947532654,0.904241144657135
229,0.6607012748718262,0.7956894636154175,0.8013228178024292,0.8897048830986023
23,0.4993930160999298,0.6661269068717957,0.5731008648872375,0.7286257147789001
230,0.4165410101413727,0.5881100296974182,0.7619534134864807,0.8648961782455444
231,0.3174152970314026,0.48187583684921265,0.8174668550491333,0.8995672464370728
232,0.7764456272125244,0.8741563558578491,0.822002112865448,0.9023064374923706
233,0.7658449411392212,0.8673977255821228,0.8770127296447754,0.9344771504402161
234,0.8250011205673218,0.9041102528572083,0.8917308449745178,0.9427671432495117
235,0.8518881797790527,0.9200211763381958,0.8711860775947571,0.9311591982841492
236,0.8225567936897278,0.9026405215263367,0.8830292820930481,0.9378816485404968
237,0.855198860168457,0.9219484329223633,0.8721053600311279,0.9316840767860413
238,0.8097596764564514,0.8948808908462524,0.8867746591567993,0.9399899840354919
239,0.7819502949714661,0.8776342272758484,0.8721997737884521,0.9317378997802734
24,0.8741957545280457,0.9328756332397461,0.960826575756073,0.9800220131874084
240,0.7512373328208923,0.8579503297805786,0.8562723398208618,0.9225718975067139
241,0.7451305389404297,0.8539539575576782,0.8345311880111694,0.9098032116889954
242,0.4766344428062439,0.6455686688423157,0.8326019048690796,0.9086555242538452
243,0.7670107483863831,0.8681449890136719,0.8519213795661926,0.9200405478477478
244,0.8576009273529053,0.9233424663543701,0.8695523142814636,0.9302251935005188
245,0.8559404611587524,0.922379195690155,0.8447282910346985,0.9158295392990112
246,0.7864595651626587,0.8804672360420227,0.8629230260848999,0.9264183640480042
247,0.7133266925811768,0.8326802849769592,0.8273336887359619,0.9055091738700867
248,0.8032256364822388,0.8908764719963074,0.8591646552085876,0.9242480397224426
249,0.8627609610557556,0.9263249635696411,0.8887450098991394,0.941095769405365
25,0.5209353566169739,0.6850197315216064,0.8646239638328552,0.9273976683616638
250,0.8236247301101685,0.9032831192016602,0.8146105408668518,0.8978351354598999
251,0.7789633870124817,0.8757497668266296,0.7890612483024597,0.8820952773094177
252,0.799648642539978,0.8886719346046448,0.7797564268112183,0.8762507438659668
253,0.8994570970535278,0.9470675587654114,0.9030243754386902,0.9490413069725037
254,0.7770716547966003,0.8745529651641846,0.8809078931808472,0.936683714389801
255,0.8040752410888672,0.8913987874984741,0.9139875769615173,0.955061137676239
256,0.8294667601585388,0.9067853093147278,0.8815531730651855,0.9370483756065369
257,0.7925575375556946,0.8842756748199463,0.8966993093490601,0.9455366134643555
258,0.860614538192749,0.9250863194465637,0.9311010241508484,0.9643213748931885
259,0.882729709148407,0.9377126097679138,0.8933651447296143,0.943679690361023
26,0.9094468951225281,0.9525762796401978,0.8692682981491089,0.9300626516342163
260,0.9122276306152344,0.9540994167327881,0.9117162823677063,0.9538196325302124
261,0.7858771681785583,0.8801021575927734,0.9222315549850464,0.9595426321029663
262,0.7136873602867126,0.8329259753227234,0.8934120535850525,0.9437058568000793
263,0.5528219938278198,0.7120223641395569,0.8237709999084473,0.9033710956573486
264,0.8752045035362244,0.9334496259689331,0.9260085821151733,0.9615830183029175
265,0.8634763956069946,0.9267371892929077,0.8929241895675659,0.9434336423873901
266,0.8515691161155701,0.919835090637207,0.8649399280548096,0.927579402923584
267,0.7206732630729675,0.8376643061637878,0.8851403594017029,0.939070999622345
268,0.16997016966342926,0.2905547022819519,0.8580160737037659,0.9235830903053284
269,0.919600784778595,0.9581167101860046,0.840859591960907,0.9135510325431824
27,0.9123222827911377,0.9541511535644531,0.8460431694984436,0.9166017174720764
270,0.7050390243530273,0.8270063400268555,0.7221688628196716,0.8386737108230591
271,0.7630486488342285,0.8656013607978821,0.8467254638671875,0.9170020222663879
272,0.7541892528533936,0.8598721623420715,0.8307135105133057,0.9075297713279724
273,0.5770753622055054,0.731829822063446,0.8598102927207947,0.9246215224266052
274,0.6492706537246704,0.7873427271842957,0.9159133434295654,0.9561114311218262
275,0.8034241795539856,0.8909985423088074,0.8721577525138855,0.9317139387130737
276,0.8841517567634583,0.9385144114494324,0.8309690356254578,0.9076822400093079
277,0.7596235871315002,0.863393247127533,0.6748568415641785,0.8058680891990662
278,0.8353312015533447,0.9102784395217896,0.8981308341026306,0.9463318586349487
279,0.8701792359352112,0.9305837750434875,0.9057211875915527,0.9505285620689392
28,0.8898524045944214,0.9417163133621216,0.9191663265228271,0.9578808546066284
280,0.9115341305732727,0.953719973564148,0.8804163336753845,0.9364057183265686
281,0.9119774699211121,0.9539625644683838,0.9041904807090759,0.9496849179267883
282,0.9284815788269043,0.9629146456718445,0.9103900194168091,0.9530933499336243
283,0.9268515110015869,0.9620373249053955,0.905040442943573,0.9501535296440125
284,0.7340527772903442,0.8466325402259827,0.6891587376594543,0.8159786462783813
285,0.9005972743034363,0.9476991891860962,0.8883740305900574,0.9408878087997437
286,0.8936249017715454,0.9438246488571167,0.8159999847412109,0.8986784219741821
287,0.824554443359375,0.9038419723510742,0.7599369883537292,0.8635956645011902
288,0.8128069043159485,0.8967385292053223,0.8476635217666626,0.9175518751144409
289,0.0695471316576004,0.1300496906042099,0.8853371739387512,0.9391818046569824
29,0.8996121287345886,0.9471534490585327,0.9060006141662598,0.9506824016571045
290,0.8884585499763489,0.9409351944923401,0.9068058729171753,0.9511255025863647
291,0.8601809740066528,0.9248358011245728,0.8355056047439575,0.9103819727897644
292,0.8999999761581421,0.9473684430122375,0.7561450600624084,0.8611419200897217
293,0.8678343892097473,0.9292412400245667,0.9164658784866333,0.9564124345779419
294,0.9331892132759094,0.9654401540756226,0.9387913942337036,0.9684295058250427
295,0.9144126176834106,0.9552931189537048,0.8911080956459045,0.9424189925193787
296,0.9136497974395752,0.9548766613006592,0.9007882475852966,0.9478049278259277
297,0.8642235994338989,0.9271672964096069,0.8616993427276611,0.9257127046585083
298,0.8937072157859802,0.9438705444335938,0.913245439529419,0.9546558260917664
299,0.7185957431793213,0.8362591862678528,0.9195525646209717,0.9580905437469482
3,0.9508592486381531,0.9748107194900513,0.9487387537956238,0.9736951589584351
30,0.863286554813385,0.9266278147697449,0.9317948222160339,0.9646933674812317
300,0.8590385317802429,0.9241750836372375,0.8845080137252808,0.9387150406837463
301,0.877024233341217,0.9344836473464966,0.9261875748634338,0.9616795182228088
302,0.8900748491287231,0.9418408870697021,0.9124758243560791,0.9542351365089417
303,0.877289891242981,0.9346344470977783,0.9144763946533203,0.9553279280662537
304,0.8712682723999023,0.9312061667442322,0.8742563724517822,0.932910144329071
305,0.8717337250709534,0.9314719438552856,0.8877540826797485,0.9405399560928345
306,0.8544631004333496,0.9215207099914551,0.950376033782959,0.9745566844940186
307,0.6669832468032837,0.8002278804779053,0.8927251100540161,0.9433225393295288
308,0.8325620889663696,0.9086318016052246,0.9511036276817322,0.9749391078948975
309,0.7063990235328674,0.8279411792755127,0.8276492357254028,0.9056981205940247
31,0.9276924133300781,0.9624900817871094,0.9325342178344727,0.9650894999504089
310,0.9346405267715454,0.9662162065505981,0.7224285006523132,0.8388487100601196
311,0.8935912847518921,0.9438058733940125,0.9104401469230652,0.9531208276748657
312,0.7486526370048523,0.8562622666358948,0.6446067690849304,0.7839038372039795
313,0.8633649945259094,0.9266729950904846,0.871001660823822,0.931053876876831
314,0.825072169303894,0.9041529297828674,0.8928684592247009,0.9434025883674622
315,0.9556673765182495,0.9773312211036682,0.9781796932220459,0.9889695048332214
316,0.9575311541557312,0.978304922580719,0.941767692565918,0.9700106978416443
317,0.9382492303848267,0.9681409597396851,0.9110333323478699,0.9534457921981812
318,0.8859540224075317,0.93952876329422,0.7771891355514526,0.874627411365509
